Section Number,Chapter Number,Chapter Name,Section Title,Section Description
11,2,OF PUNISHMENTS,"Solitary
confinement.","Whenever any person is convicted of an offence for which under this Sanhita the
Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence,
order that the offender shall be kept in solitary confinement for any portion or portions of the
imprisonment to which he is sentenced, not exceeding three months in the whole, according
to the following scale, namely:—
(a) a time not exceeding one month if the term of imprisonment shall not exceed
six months;
(b) a time not exceeding two months if the term of imprisonment shall exceed six
months and shall not exceed one year;
(c) a time not exceeding three months if the term of imprisonment shall exceed
one year."
12,2,OF PUNISHMENTS,"Limit of
solitary
confinement.","12. In executing a sentence of solitary confinement, such confinement shall in no case
exceed fourteen days at a time, with intervals between the periods of solitary confinement of
not less duration than such periods; and when the imprisonment awarded shall exceed three
months, the solitary confinement shall not exceed seven days in any one month of the whole
imprisonment awarded, with intervals between the periods of solitary confinement of not
less duration than such periods."
13,2,OF PUNISHMENTS,Enhanced punishment for certain offences after previous conviction.,"Whoever, having been convicted by a Court in India, of an offence punishable
under Chapter X or Chapter XVII of this Sanhita with imprisonment of either description for
a term of three years or upwards, shall be guilty of any offence punishable under either of
those Chapters with like imprisonment for the like term, shall be subject for every such
subsequent offence to imprisonment for life, or to imprisonment of either description for a
term which may extend to ten years."
14,3,GENERAL EXCEPTIONS,"Act done by a
person bound,
or by mistake
of fact
believing
himself bound,
by law","Nothing is an offence which is done by a person who is, or who by reason of a
mistake of fact and not by reason of a mistake of law in good faith believes himself to be,
bound by law to do it."
15,3,GENERAL EXCEPTIONS,"Act of Judge
when acting
judicially.","Nothing is an offence which is done by a Judge when acting judicially in the
exercise of any power which is, or which in good faith he believes to be, given to him by law."
16,3,GENERAL EXCEPTIONS,"Act done
pursuant to
judgment or
order of
Court.","Nothing which is done in pursuance of, or which is warranted by the judgment or
order of, a Court; if done whilst such judgment or order remains in force, is an offence,
notwithstanding the Court may have had no jurisdiction to pass such judgment or order,
provided the person doing the act in good faith believes that the Court had such jurisdiction."
17,3,GENERAL EXCEPTIONS,"Act done by a
person justified,
or by mistake of
fact believing
himself justified,
by law.",". Nothing is an offence which is done by any person who is justified by law, or who
by reason of a mistake of fact and not by reason of a mistake of law in good faith, believes
himself to be justified by law, in doing it."
18,3,GENERAL EXCEPTIONS,"Accident in
doing a lawful
act.",". Nothing is an offence which is done by accident or misfortune, and without any
criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful
means and with proper care and caution."
19,3,GENERAL EXCEPTIONS,"Act likely to
cause harm,
but done
without
criminal
intent, and to
prevent other
harm.",". Nothing is an offence merely by reason of its being done with the knowledge that
it is likely to cause harm, if it be done without any criminal intention to cause harm, and in
good faith for the purpose of preventing or avoiding other harm to person or property."
20,3,GENERAL EXCEPTIONS,"Act of a child
under seven
years of age.",Nothing is an offence which is done by a child under seven years of age.
21,3,GENERAL EXCEPTIONS,"Act of a child
above seven
and under
twelve years
of age of
immature
understanding.","Nothing is an offence which is done by a child above seven years of age and under
twelve years of age, who has not attained sufficient maturity of understanding to judge of
the nature and consequences of his conduct on that occasion."
22,3,GENERAL EXCEPTIONS,"Act of a
person of
unsound mind.","Nothing is an offence which is done by a person who, at the time of doing it, by
reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is
doing what is either wrong or contrary to law."
23,3,GENERAL EXCEPTIONS,"Act of a person
incapable of
judgment by
reason of
intoxication
caused against
his will.","Nothing is an offence which is done by a person who, at the time of doing it, is, by
reason of intoxication, incapable of knowing the nature of the act, or that he is doing what is
either wrong, or contrary to law; provided that the thing which intoxicated him was
administered to him without his knowledge or against his will."
24,3,GENERAL EXCEPTIONS,"Offence
requiring a
particular
intent or
knowledge
committed by
one who is
intoxicated.","In cases where an act done is not an offence unless done with a particular knowledge
or intent, a person who does the act in a state of intoxication shall be liable to be dealt with
as if he had the same knowledge as he would have had if he had not been intoxicated, unless
the thing which intoxicated him was administered to him without his knowledge or against
his will."
25,3,GENERAL EXCEPTIONS,"Act not
intended and
not known to
be likely to
cause death or
grievous hurt,
done by
consent.","Nothing which is not intended to cause death, or grievous hurt, and which is not
known by the doer to be likely to cause death or grievous hurt, is an offence by reason of any
harm which it may cause, or be intended by the doer to cause, to any person, above eighteen
years of age, who has given consent, whether express or implied, to suffer that harm; or by
reason of any harm which it may be known by the doer to be likely to cause to any such
person who has consented to take the risk of that harm."
26,3,GENERAL EXCEPTIONS,"Act not
intended to
cause death,
done by
consent in
good faith for
person's
benefit.","Nothing, which is not intended to cause death, is an offence by reason of any harm
which it may cause, or be intended by the doer to cause, or be known by the doer to be likely
to cause, to any person for whose benefit it is done in good faith, and who has given a
consent, whether express or implied, to suffer that harm, or to take the risk of that harm."
27,3,GENERAL EXCEPTIONS,"Act done in
good faith for
benefit of
child or
person of
unsound mind,
by, or by
consent of
guardian.","Nothing which is done in good faith for the benefit of a person under twelve years
of age, or person of unsound mind, by, or by consent, either express or implied, of the
guardian or other person having lawful charge of that person, is an offence by reason of any
harm which it may cause, or be intended by the doer to cause or be known by the doer to be
likely to cause to that person:
Provided that this exception shall not extend to––
(a) the intentional causing of death, or to the attempting to cause death;
(b) the doing of anything which the person doing it knows to be likely to cause
death, for any purpose other than the preventing of death or grievous hurt, or the
curing of any grievous disease or infirmity;
(c) the voluntary causing of grievous hurt, or to the attempting to cause grievous
hurt, unless it be for the purpose of preventing death or grievous hurt, or the curing of
any grievous disease or infirmity;
(d) the abetment of any offence, to the committing of which offence it would not
extend."
28,3,GENERAL EXCEPTIONS,"Consent
known to be
given under
fear or
misconception.","A consent is not such a consent as is intended by any section of this Sanhita,––
(a) if the consent is given by a person under fear of injury, or under a misconception
of fact, and if the person doing the act knows, or has reason to believe, that the
consent was given in consequence of such fear or misconception; or
(b) if the consent is given by a person who, from unsoundness of mind, or
intoxication, is unable to understand the nature and consequence of that to which he
gives his consent; or
(c) unless the contrary appears from the context, if the consent is given by a
person who is under twelve years of age."
29,3,GENERAL EXCEPTIONS,Exclusion of acts which are offences independently of harm caused.,". The exceptions in sections 25, 26 and 27 do not extend to acts which are offences
independently of any harm which they may cause, or be intended to cause, or be known to
be likely to cause, to the person giving the consent, or on whose behalf the consent is given."
30,3,GENERAL EXCEPTIONS,Act done in good faith for benefit of a person without consent.,". Nothing is an offence by reason of any harm which it may cause to a person for
whose benefit it is done in good faith, even without that person’s consent, if the circumstances
are such that it is impossible for that person to signify consent, or if that person is incapable
of giving consent, and has no guardian or other person in lawful charge of him from whom it
is possible to obtain consent in time for the thing to be done with benefit:
Provided that this exception shall not extend to––
(a) the intentional causing of death, or the attempting to cause death;
(b) the doing of anything which the person doing it knows to be likely to cause
death, for any purpose other than the preventing of death or grievous hurt, or the
curing of any grievous disease or infirmity;
(c) the voluntary causing of hurt, or to the attempting to cause hurt, for any
purpose other than the preventing of death or hurt;
(d) the abetment of any offence, to the committing of which offence it would not
extend."
31,3,GENERAL EXCEPTIONS,Communication made in good faith.,". No communication made in good faith is an offence by reason of any harm to the
person to whom it is made, if it is made for the benefit of that person."
32,3,GENERAL EXCEPTIONS,Act to which a person is compelled by threats.,"Except murder, and offences against the State punishable with death, nothing is an
offence which is done by a person who is compelled to do it by threats, which, at the time of
doing it, reasonably cause the apprehension that instant death to that person will otherwise
be the consequence:
Provided that the person doing the act did not of his own accord, or from a reasonable
apprehension of harm to himself short of instant death, place himself in the situation by
which he became subject to such constraint."
33,3,GENERAL EXCEPTIONS,Act causing slight harm.,"Nothing is an offence by reason that it causes, or that it is intended to cause, or
that it is known to be likely to cause, any harm, if that harm is so slight that no person of
ordinary sense and temper would complain of such harm."
34,3,GENERAL EXCEPTIONS,"Things done
in private
defence.",Nothing is an offence which is done in the exercise of the right of private defence.
35,3,GENERAL EXCEPTIONS,"Right of
private
defence of
body and of
property.",". Every person has a right, subject to the restrictions contained in section 37, to
defend—
(a) his own body, and the body of any other person, against any offence affecting
the human body;
(b) the property, whether movable or immovable, of himself or of any other person, against any act which is an offence falling under the definition of theft, robbery,
mischief or criminal trespass, or which is an attempt to commit theft, robbery, mischief
or criminal trespass."
36,3,GENERAL EXCEPTIONS,"Right of private defence against act of a person of unsound mind, etc.","When an act, which would otherwise be a certain offence, is not that offence, by
reason of the youth, the want of maturity of understanding, the unsoundness of mind or the
intoxication of the person doing that act, or by reason of any misconception on the part of
that person, every person has the same right of private defence against that act which he
would have if the act were that offence"
37,3,GENERAL EXCEPTIONS,"Acts against
which there is
no right of
private
defence.","(1) There is no right of private defence,––
(a) against an act which does not reasonably cause the apprehension of death
or of grievous hurt, if done, or attempted to be done, by a public servant acting in good
faith under colour of his office, though that act, may not be strictly justifiable by law;
(b) against an act which does not reasonably cause the apprehension of death
or of grievous hurt, if done, or attempted to be done, by the direction of a public
servant acting in good faith under colour of his office, though that direction may not
be strictly justifiable by law;
(c) in cases in which there is time to have recourse to the protection of the public
authorities.
(2) The right of private defence in no case extends to the inflicting of more harm than
it is necessary to inflict for the purpose of defence."
38,3,GENERAL EXCEPTIONS,"When right of
private
defence of
body extends
to causing
death.","The right of private defence of the body extends, under the restrictions specified in
section 37, to the voluntary causing of death or of any other harm to the assailant, if the
offence which occasions the exercise of the right be of any of the descriptions hereinafter
enumerated, namely:—
(a) such an assault as may reasonably cause the apprehension that death will
otherwise be the consequence of such assault;
(b) such an assault as may reasonably cause the apprehension that grievous
hurt will otherwise be the consequence of such assault;
(c) an assault with the intention of committing rape;
(d) an assault with the intention of gratifying unnatural lust;
(e) an assault with the intention of kidnapping or abducting;
(f) an assault with the intention of wrongfully confining a person, under
circumstances which may reasonably cause him to apprehend that he will be unable to
have recourse to the public authorities for his release;
(g) an act of throwing or administering acid or an attempt to throw or administer
acid which may reasonably cause the apprehension that grievous hurt will otherwise
be the consequence of such act."
39,3,GENERAL EXCEPTIONS,When such right extends to causing any harm other than death.,"If the offence be not of any of the descriptions specified in section 38, the right of
private defence of the body does not extend to the voluntary causing of death to the
assailant, but does extend, under the restrictions specified in section 37, to the voluntary
causing to the assailant of any harm other than death."
40,3,GENERAL EXCEPTIONS,Commencement and continuance of right of private defence of body.,"The right of private defence of the body commences as soon as a reasonable
apprehension of danger to the body arises from an attempt or threat to commit the offence
though the offence may not have been committed; and it continues as long as such
apprehension of danger to the body continues."
41,3,GENERAL EXCEPTIONS,"When right of
private
defence of
property
extends to
causing death.","The right of private defence of property extends, under the restrictions specified in
section 37, to the voluntary causing of death or of any other harm to the wrong-doer, if the
offence, the committing of which, or the attempting to commit which, occasions the exercise
of the right, be an offence of any of the descriptions hereinafter enumerated, namely:—
(a) robbery;
(b) house-breaking after sunset and before sunrise;
(c) mischief by fire or any explosive substance committed on any building, tent
or vessel, which building, tent or vessel is used as a human dwelling, or as a place for
the custody of property;
(d) theft, mischief, or house-trespass, under such circumstances as may
reasonably cause apprehension that death or grievous hurt will be the consequence,
if such right of private defence is not exercised."
42,3,GENERAL EXCEPTIONS,"When such
right extends
to causing any
harm other
than death.","If the offence, the committing of which, or the attempting to commit which occasions
the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any
of the descriptions specified in section 41, that right does not extend to the voluntary
causing of death, but does extend, subject to the restrictions specified in section 37, to the
voluntary causing to the wrong-doer of any harm other than death."
43,3,GENERAL EXCEPTIONS,"Commencement
and
continuance
of right of
private
defence of
property.","The right of private defence of property,––
(a) commences when a reasonable apprehension of danger to the property
commences;
(b) against theft continues till the offender has effected his retreat with the
property or either the assistance of the public authorities is obtained, or the property
has been recovered;
(c) against robbery continues as long as the offender causes or attempts to
cause to any person death or hurt or wrongful restraint or as long as the fear of instant
death or of instant hurt or of instant personal restraint continues;
(d) against criminal trespass or mischief continues as long as the offender
continues in the commission of criminal trespass or mischief;
(e) against house-breaking after sunset and before sunrise continues as long as
the house-trespass which has been begun by such house-breaking continues."
44,3,GENERAL EXCEPTIONS,"Right of private
defence against
deadly assault
when there is
risk of harm to
innocent person.","If in the exercise of the right of private defence against an assault which reasonably
causes the apprehension of death, the defender be so situated that he cannot effectually
exercise that right without risk of harm to an innocent person, his right of private defence
extends to the running of that risk."
45,4,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT","Abetment of a
thing.","A person abets the doing of a thing, who—
(a) instigates any person to do that thing; or
(b) engages with one or more other person or persons in any conspiracy for the
doing of that thing, if an act or illegal omission takes place in pursuance of that
conspiracy, and in order to the doing of that thing; or
(c) intentionally aids, by any act or illegal omission, the doing of that thing."
46,4,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT",Abettor,"A person abets an offence, who abets either the commission of an offence, or the
commission of an act which would be an offence, if committed by a person capable by law of
committing an offence with the same intention or knowledge as that of the abettor."
47,4,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT",Abetment in India of offences outside India.,"A person abets an offence within the meaning of this Sanhita who, in India, abets
the commission of any act without and beyond India which would constitute an offence if
committed in India."
48,4,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT",Abetment outside India for offence in India.,"A person abets an offence within the meaning of this Sanhita who, without and
beyond India, abets the commission of any act in India which would constitute an offence if
committed in India."
49,4,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT",Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.,"Whoever abets any offence shall, if the act abetted is committed in consequence of
the abetment, and no express provision is made by this Sanhita for the punishment of such
abetment, be punished with the punishment provided for the offence."
